Reference,Value,Have?,Datasheet,Footprint,Qty,DNP
"C1,C2",22p,N 220,,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,2,
"C3,C4,C7,C8,C9,C10,C11,C12,C13,C14",100n,Y 104,,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,10,
"C5,C6",22u,N (but use our electrolytic),,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,2,
"IC1,IC2",NJM4556AV-TE1,N,https://componentsearchengine.com/Datasheets/1/NJM4556AV-TE1.pdf,Package_SO:SSOP-8_5.25x5.24mm_P1.27mm,2,
J1,IN L,Y,,PCM_4ms_Jack:EighthInch_PJ398SM,1,
J2,IN R,Y,,PCM_4ms_Jack:EighthInch_PJ398SM,1,
J3,OUT LR 1,Y,,PCM_4ms_Jack:EighthInch_Stereo_PJ366ST,1,
J4,OUT LR 2,Y,,PCM_4ms_Jack:EighthInch_Stereo_PJ366ST,1,
J5,OUT L (LINE),Y,,PCM_4ms_Jack:EighthInch_PJ398SM,1,
J6,Eurorack_Power_10pin_Unshrouded,Y,,Library:IDC-Header_2x05_P2.54mm_Vertical_Euro_Power_Striped,1,
J7,OUT R (LINE),Y,,PCM_4ms_Jack:EighthInch_PJ398SM,1,
POT1,9mm_Dual_50k_DShaft_DualRow,N,,PCM_4ms_Potentiometer:Potentiometer_Alps_RK09L_Double_Vertical,1,
"R1,R2,R3,R4,R5,R6,R7,R8",100k,Y,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,
"R9,R10",1k,Y,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,
"R11,R12,R13,R14",1,Y,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,
"U1,U2",LME49720,N,,Package_DIP:DIP-8_W7.62mm_Socket,2,
