Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D4.0mm_P1.50mm,2,22uF,
"C10, C13, C14, C3, C4, C5, C6, C7, C8, C9",C_Disc_D3.0mm_W1.6mm_P2.50mm,10,100n,
"C11, C12",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,22p,
"IC1, IC2",DIP-8_W7.62mm_Socket,2,NJM4556AD,
J1,EighthInch_PJ398SM_3mmNPTH,1,IN L,
J2,EighthInch_PJ398SM_3mmNPTH,1,IN R,
J3,IDC-Header_2x05_P2.54mm_Vertical_Euro_Power_Striped_ThickerText,1,Eurorack_Power_10pin_Unshrouded,
J4,EighthInch_PJ398SM_3mmNPTH,1,LINE OUT L,
J5,EighthInch_Stereo_PJ366ST_NPTH,1,OUT LR,
J6,EighthInch_PJ398SM_3mmNPTH,1,LINE OUT R,
POT1,Potentiometer_Alps_RK09L_Double_Vertical,1,9mm_Dual_50k_DShaft_DualRow,
"R1, R10, R2, R3, R4, R5, R6, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,8,100k,
"R11, R12, R13, R14",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,1,
"R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,1k,
"U1, U2",DIP-8_W7.62mm_Socket,2,LME49720,
